Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
390,Kelly Olynyk\olynyke01,PF,27,MIA,79,1812,0.463,16.5,0.434,0.246,0.113,0.037,0.037,0.566,0.604,0.719,0.516,0.381,0.333,0.354,0.696,0.982,0.027,14,0.219,0.371,1,0
391,Cedi Osman\osmande01,SF,23,CLE,76,2444,0.427,14.8,0.557,0.287,0.118,0.077,0.075,0.443,0.489,0.603,0.33,0.4,0.397,0.348,0.5,0.838,0.012,10,0.235,0.318,1,0
392,Kelly Oubre Jr.\oubreke01,SF,23,TOT,69,1935,0.445,13.1,0.599,0.325,0.185,0.053,0.034,0.401,0.53,0.639,0.353,0.489,0.517,0.32,0.558,0.87,0.099,70,0.225,0.316,1,0
392,Kelly Oubre Jr.\oubreke01,SF,23,WAS,29,755,0.433,13.7,0.567,0.298,0.2,0.039,0.03,0.433,0.526,0.626,0.393,0.417,0.556,0.311,0.659,0.951,0.105,29,0.22,0.276,0,0
392,Kelly Oubre Jr.\oubreke01,SF,23,PHO,40,1180,0.453,12.7,0.616,0.341,0.177,0.061,0.037,0.384,0.532,0.645,0.326,0.515,0.5,0.325,0.506,0.821,0.095,41,0.228,0.34,1,0
393,Zaza Pachulia\pachuza01,C,34,DET,68,878,0.44,7.1,0.979,0.523,0.212,0.098,0.145,0.021,0.45,0.564,0.244,0.632,0.214,0,0.624,,0.021,4,0,,4,0
394,Jabari Parker\parkeja01,PF,23,TOT,64,1724,0.493,11.8,0.74,0.364,0.148,0.088,0.139,0.26,0.556,0.714,0.432,0.409,0.365,0.313,0.484,0.869,0.128,88,0.241,0.383,1,0
394,Jabari Parker\parkeja01,PF,23,CHI,39,1042,0.474,12.2,0.754,0.328,0.147,0.103,0.177,0.246,0.523,0.697,0.426,0.375,0.366,0.325,0.47,0.892,0.108,44,0.281,0.406,0,0
394,Jabari Parker\parkeja01,PF,23,WAS,25,682,0.523,11.1,0.716,0.425,0.151,0.063,0.077,0.284,0.613,0.736,0.442,0.5,0.364,0.296,0.504,0.833,0.161,44,0.185,0.333,1,0
395,Tony Parker\parketo01,PG,36,CHO,56,1003,0.46,11.3,0.89,0.305,0.192,0.134,0.259,0.11,0.485,0.582,0.404,0.565,0.392,0.255,0.145,1,0,0,0.157,0.375,2,0
396,Chandler Parsons\parsoch01,SF,30,MEM,25,496,0.374,17,0.484,0.176,0.121,0.099,0.088,0.516,0.443,0.531,0.455,0.278,0.438,0.309,0.667,0.828,0.005,1,0.223,0.238,0,0
397,Patrick Patterson\pattepa01,PF,29,OKC,63,861,0.374,17.9,0.374,0.16,0.1,0.091,0.023,0.626,0.439,0.571,0.273,0.4,0.4,0.336,0.722,1,0.027,6,0.314,0.302,0,0
398,Justin Patton\pattoju01,C,21,PHI,3,21,0.286,9.6,0.714,0.571,0,0.143,0,0.286,0.4,0.5,,0,,0,1,,0.143,1,0,,0,0
399,Chris Paul\paulch01,PG,33,HOU,58,1857,0.419,17.9,0.507,0.081,0.133,0.225,0.068,0.493,0.479,0.586,0.396,0.469,0.551,0.358,0.057,0.252,0,0,0.163,0.345,3,1
